id,name,rating,room,type-of-room,beds,number-of-baths,shared-bath,host-id,host-name,neighbourhood-group,neighbourhood,latitude,longitude,room-type,price,minimum-nights,number-of-reviews,last-review,reviews-per-month,calculated-host-listings-count,availability-365,number-of-reviews-ltm,license
19553592,Rental unit in Madrid,4.52,1,Bedroom,2,1,1,137372436,Susana Elizabeth,Fuencarral - El Pardo,Pilar,40.47481,-3.71279,Private room,47,1,88,2/7/2023,1.16,1,358,14,NA
18401072,Rental unit in Madrid,4.57,1,Bedroom,1,1,1,14713230,Maria,Centro,Embajadores,40.40892,-3.70434,Private room,47,3,91,20/11/2023,1.14,6,169,32,NA
10993059,Rental unit in Madrid,4.71,1,Bedroom,1,1,0,38347848,Laura,Salamanca,Fuente del Berro,40.42428,-3.66675,Entire home/apt,47,4,278,3/12/2023,3.03,1,139,51,NA
6663211,Rental unit in Madrid,4.77,1,Bedroom,1,1,1,32947142,Miguel Ángel,Salamanca,Goya,40.42477,-3.66933,Private room,47,3,30,1/12/2023,0.3,1,0,9,NA
1209383,Rental unit in Madrid,4.9,1,Bedroom,2,1,1,4790263,Tania,Arganzuela,Palos de Moguer,40.40339,-3.69393,Private room,47,5,30,10/11/2023,0.33,2,358,8,NA
53802546,Rental unit in Madrid,4.72,1,Bedroom,1,1,1,142578,Daniel,Centro,Justicia,40.42813,-3.70192,Private room,46,3,103,10/12/2023,4.33,15,69,60,NA
52654852,Rental unit in Madrid,4.96,1,Bedroom,1,1,1,106496055,Karen,Centro,Embajadores,40.40999,-3.69427,Private room,46,3,138,11/12/2023,5.21,1,53,51,NA
49885873,Rental unit in Madrid,4.65,1,Bedroom,1,1,0,83226982,Luis,Retiro,Pacífico,40.40694,-3.67855,Private room,46,1,17,10/7/2022,0.66,4,102,0,NA
47769310,Rental unit in Madrid,4.6,1,Studio,1,1,0,384986838,Gimena Mercedes,Puente de Vallecas,San Diego,40.39457,-3.66944,Entire home/apt,46,3,82,26/11/2023,2.46,1,150,28,NA
41320966,Rental unit in Madrid,4.91,1,Bedroom,1,2,0,324673708,Eliyah,Arganzuela,Chopera,40.3956,-3.69666,Private room,46,1,23,26/11/2023,0.49,1,337,22,NA
39544143,Rental unit in Madrid,5,1,Bedroom,1,1,1,206458395,Belkys,Chamartín,Hispanoamérica,40.45489,-3.68031,Private room,46,3,3,3/11/2019,0.06,3,1,0,NA
37964958,Rental unit in Madrid,4.77,1,Bedroom,1,1,1,235843854,Maureen,San Blas - Canillejas,Rejas,40.44697,-3.59746,Private room,46,1,62,26/11/2023,1.19,4,81,11,NA
34283037,Chalet in Madrid,4.25,1,Bedroom,1,1,1,569771,Emilio,San Blas - Canillejas,Canillejas,40.44799,-3.61047,Private room,46,2,4,30/4/2022,0.07,1,288,0,NA
33778867,Home in Madrid,4.67,1,Bedroom,1,1,1,214830785,Reynaldo,Chamberí,Rios Rosas,40.441,-3.69753,Private room,46,1,12,27/3/2022,0.22,1,0,0,NA
31432644,Rental unit in Madrid,4.73,1,Bedroom,1,1,1,235444814,Indigo,Centro,Sol,40.42014,-3.70383,Private room,46,2,70,12/11/2023,1.18,2,1,10,NA
26982130,Rental unit in Madrid,4.58,1,Studio,3,1,1,106154270,Jose Maria,Puente de Vallecas,Palomeras Sureste,40.38667,-3.63844,Private room,46,1,12,17/10/2023,0.21,2,182,3,NA
24549885,Rental unit in Madrid,4.82,1,Bedroom,1,1,1,34331457,Jay,Centro,Embajadores,40.40905,-3.69678,Private room,46,11,57,30/11/2023,0.9,4,73,10,NA
24085625,Condo in Madrid,4.69,1,Bedroom,1,1,1,179722186,Dito,Hortaleza,Pinar del Rey,40.46358,-3.66169,Private room,46,2,162,1/12/2023,2.35,2,1,7,VT-8452
19281881,Rental unit in Madrid,4.47,1,Bedroom,4,1,0,104954660,Chloe,Centro,Sol,40.41769,-3.70341,Private room,46,1,58,20/8/2023,0.77,7,5,12,NA
19281556,Rental unit in Madrid,4.45,1,Bedroom,1,1,0,104954660,Chloe,Centro,Sol,40.41769,-3.70341,Private room,46,1,82,26/9/2023,1.04,7,5,10,NA
19280195,Rental unit in Madrid,4.7,1,Bedroom,3,1,0,104954660,Chloe,Centro,Sol,40.41769,-3.70341,Private room,46,1,66,26/9/2023,0.85,7,5,10,NA
18165743,Rental unit in Madrid,4.93,1,Bedroom,1,1,0,111643890,Rosa,Chamartín,Castilla,40.47075,-3.67855,Private room,46,1,304,1/12/2023,3.74,2,1,81,NA
17933497,Rental unit in Madrid,4.89,1,Bedroom,4,1,0,20512685,Nuria,Chamberí,Rios Rosas,40.44301,-3.70114,Private room,46,1,47,23/9/2023,0.59,1,157,13,NA
17268275,Condo in Madrid,4.67,1,Bedroom,1,1,1,101837171,Charo,Tetuán,Castillejos,40.45644,-3.69358,Private room,46,2,18,9/9/2021,0.22,2,108,0,NA
16444826,Rental unit in Madrid,4.65,1,Studio,2,1,0,51828290,Ramon,Usera,Almendrales,40.38554,-3.70331,Entire home/apt,46,7,43,27/6/2023,0.53,21,193,6,HM-4817
16038916,Loft in Madrid,4.82,1,Studio,1,1,0,28442060,Maria,San Blas - Canillejas,Simancas,40.43985,-3.62632,Entire home/apt,46,2,60,29/11/2021,0.7,1,0,0,NA
15407681,Rental unit in Madrid,4.87,1,Bedroom,1,1,0,98642939,Maria,Tetuán,Cuatro Caminos,40.4525,-3.69659,Private room,46,3,219,1/12/2023,2.5,1,332,31,NA
15206279,Rental unit in Madrid,4.91,1,Bedroom,1,1,1,44430986,Montse,Fuencarral - El Pardo,Valverde,40.51417,-3.67419,Private room,46,2,47,16/6/2023,0.54,1,363,3,NA
14276011,Townhouse in Madrid,4.99,1,Bedroom,1,2,1,70516728,Luis José,Fuencarral - El Pardo,Peñagrande,40.48651,-3.73246,Private room,46,2,88,8/12/2023,1,1,0,14,NA
14272457,Rental unit in Madrid,4.92,1,Bedroom,1,1,0,18181859,Emba Room,Arganzuela,Delicias,40.39289,-3.68866,Private room,46,4,201,6/12/2022,2.25,5,150,0,NA
